candidate,reference,AUROC_delta,AUROC_CI_low,AUROC_CI_high,AUPRC_delta,AUPRC_CI_low,AUPRC_CI_high
scalar_mlp_ensemble,available_mean,0.010227272727272751,-0.00016304112554110513,0.023158957548536592,0.017915556839561253,2.267479209400274e-06,0.039655963121442525
concat_mlp_ensemble,available_mean,-0.05779220779220784,-0.10780329326958327,-0.015688150791691672,-0.10549656190406043,-0.17956824921762704,-0.021356992560610022
adapter_transformer_ensemble,available_mean,-0.011688311688311748,-0.0384749744069434,0.016221012294216967,-0.028352986547632297,-0.08071650509652847,0.019852903177765776
uncertainty_adapter_transformer_ensemble,available_mean,0.015909090909090873,-0.0015711020004555458,0.03546981454820441,0.01709231258037258,-0.017730495799262738,0.05539410965887349
uncertainty_adapter_transformer_ensemble,scalar_mlp_ensemble,0.005681818181818121,-0.009582055838532019,0.02325691603619037,-0.0008232442591886713,-0.03867200450138355,0.035869912192961324
uncertainty_adapter_transformer_ensemble,adapter_transformer_ensemble,0.02759740259740262,0.009459835336003527,0.04824670773086201,0.04544529912800488,0.012500464509199624,0.08672369122800747
