model,scale,positives,AUROC,AUPRC,accuracy,balanced_accuracy,F1,sensitivity,specificity,log_loss,brier,sessions
residual_adapter,0.25,311,0.9535755796689546,0.9417603363583831,0.8782608695652174,0.8767784574400395,0.864516129032258,0.8617363344051447,0.8918205804749341,0.27520711824885374,0.08584399693948917,690
residual_adapter,0.1,311,0.952574468265617,0.9396952934904707,0.8753623188405797,0.8735630233564381,0.86084142394822,0.8553054662379421,0.8918205804749341,0.2800063431960971,0.08797724717629761,690
residual_adapter,0.5,311,0.9506316334235465,0.9363539312433083,0.8724637681159421,0.8700591334447565,0.8566775244299675,0.8456591639871383,0.8944591029023746,0.28566946131258675,0.08925574321788315,690
scalar_mlp,0.0,311,0.9488415104904597,0.9328889443718201,0.8826086956521739,0.8830438877058429,0.8720379146919431,0.887459807073955,0.8786279683377308,0.2886035174793052,0.08645998299456267,690
uncertainty_gated_residual_adapter,0.1,311,0.9501480457117648,0.9374576255665747,0.8724637681159421,0.8703475892728367,0.8571428571428571,0.8488745980707395,0.8918205804749341,0.2891123138842979,0.09026418054487165,690
uncertainty_gated_residual_adapter,0.25,311,0.9501225937269342,0.9352648314137325,0.8768115942028986,0.8743053729139978,0.8613376835236541,0.8488745980707395,0.899736147757256,0.2882267517120233,0.08944304746266242,690
uncertainty_gated_residual_adapter,0.5,311,0.9474331673298324,0.9325968050870923,0.881159420289855,0.87941697986748,0.8673139158576052,0.8617363344051447,0.8970976253298153,0.29654581877315284,0.09143867882568896,690
