seed,runtime_seconds,accuracy,average_precision,auroc,f1_score,confusion_tn,confusion_fp,confusion_fn,confusion_tp,weighted_accuracy,TPR,recall,sensitivity,FPR,PPV,precision,NPV,TNR,specificity,BS,ECE,loss
122,59.15959566645324,0.8781725888324873,0.8734533078311312,0.9295485636114911,0.8095238095238095,122,7,17,51,0.8785040932771024,0.75,0.75,0.75,0.05426356589147287,0.8793103448275862,0.8793103448275862,0.8776978417266187,0.9457364341085271,0.9457364341085271,0.10064988568330216,0.07914832279766879,0.3273372746966212
242,58.567140037193894,0.868020304568528,0.8503855304668639,0.9238486092111263,0.803030303030303,118,11,15,53,0.8576715225563909,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.08527131782945736,0.828125,0.828125,0.8872180451127819,0.9147286821705426,0.9147286821705426,0.10452894036016129,0.04633809800075395,0.33525829024726367
253,58.10966285131872,0.8781725888324873,0.8491475968991956,0.9221386228910169,0.8153846153846154,120,9,15,53,0.8718637992831542,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.06976744186046512,0.8548387096774194,0.8548387096774194,0.8888888888888888,0.9302325581395349,0.9302325581395349,0.10462453540214922,0.07421221557607503,0.3422688130799889
346,58.45743807591498,0.883248730964467,0.8685357959554755,0.9274965800273598,0.8270676691729323,119,10,13,55,0.8738344988344988,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.07751937984496124,0.8461538461538461,0.8461538461538461,0.9015151515151515,0.9224806201550387,0.9224806201550387,0.09884130415626043,0.07121784311865792,0.3216096519818766
485,58.92610877379775,0.8629441624365483,0.8667130910157684,0.9288645690834474,0.7906976744186046,119,10,17,51,0.8555327868852459,0.75,0.75,0.75,0.07751937984496124,0.8360655737704918,0.8360655737704918,0.875,0.9224806201550387,0.9224806201550387,0.10324950278848746,0.044536023878204045,0.3290680241463753
524,57.46576962247491,0.8730964467005076,0.8626322081868902,0.9280665754673963,0.8120300751879699,118,11,14,54,0.8623543123543124,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.08527131782945736,0.8307692307692308,0.8307692307692308,0.8939393939393939,0.9147286821705426,0.9147286821705426,0.10185899568844188,0.061423366747531814,0.33006216910889913
548,58.622242325916886,0.8578680203045685,0.8528243966492115,0.9282945736434108,0.7878787878787878,117,12,16,52,0.8460996240601504,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.09302325581395349,0.8125,0.8125,0.8796992481203008,0.9069767441860465,0.9069767441860465,0.09883032367200427,0.06837789963949753,0.3260321060413031
563,58.24804204888642,0.8578680203045685,0.8590772858214376,0.9224806201550387,0.7941176470588235,115,14,14,54,0.8427952576379389,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.10852713178294573,0.7941176470588235,0.7941176470588235,0.8914728682170543,0.8914728682170543,0.8914728682170543,0.10462089095056024,0.030303438302829167,0.33925198782519034
580,58.132241221144795,0.868020304568528,0.8691431361822736,0.9280665754673962,0.803030303030303,118,11,15,53,0.8576715225563909,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.08527131782945736,0.828125,0.828125,0.8872180451127819,0.9147286821705426,0.9147286821705426,0.09997330498013274,0.03896893644090835,0.3223078771291045
585,57.402437468990684,0.868020304568528,0.8733495802403737,0.9331965344277245,0.8,119,10,16,52,0.8600955794504181,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.07751937984496124,0.8387096774193549,0.8387096774193549,0.8814814814814815,0.9224806201550387,0.9224806201550387,0.09800490684752935,0.06253028521077889,0.3191449315414816
595,58.75803024508059,0.868020304568528,0.8564155364608557,0.9207706338349293,0.796875,120,9,17,51,0.862956204379562,0.75,0.75,0.75,0.06976744186046512,0.85,0.85,0.8759124087591241,0.9302325581395349,0.9302325581395349,0.10583385812145894,0.0739271123397169,0.3391280585739213
604,58.185502437874675,0.868020304568528,0.8719729689216567,0.9313725490196079,0.803030303030303,118,11,15,53,0.8576715225563909,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.08527131782945736,0.828125,0.828125,0.8872180451127819,0.9147286821705426,0.9147286821705426,0.0961776299616489,0.06856083355579277,0.3136640829483265
622,58.2683886513114,0.8629441624365483,0.8753882546765089,0.9335385316917465,0.7906976744186046,119,10,17,51,0.8555327868852459,0.75,0.75,0.75,0.07751937984496124,0.8360655737704918,0.8360655737704918,0.875,0.9224806201550387,0.9224806201550387,0.09835269846755845,0.06421408042084749,0.31812917641576777
701,56.659020852297544,0.8629441624365483,0.8578816880527596,0.9270405836753306,0.7906976744186046,119,10,17,51,0.8555327868852459,0.75,0.75,0.75,0.07751937984496124,0.8360655737704918,0.8360655737704918,0.875,0.9224806201550387,0.9224806201550387,0.10392300508989281,0.03852505127185491,0.33235431806690197
710,57.67605053447187,0.868020304568528,0.8368948372319024,0.9278385772913817,0.8115942028985508,115,14,12,56,0.852755905511811,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.10852713178294573,0.8,0.8,0.905511811023622,0.8914728682170543,0.8914728682170543,0.09883754030519547,0.045352217509661875,0.336634021120023
733,57.946828715503216,0.8730964467005076,0.8542204819561856,0.9202006383948929,0.8091603053435115,119,10,15,53,0.8646647713811892,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.07751937984496124,0.8412698412698413,0.8412698412698413,0.8880597014925373,0.9224806201550387,0.9224806201550387,0.10422253105794653,0.07951098196397577,0.34181345053735723
771,57.82455237582326,0.8781725888324873,0.880081119558454,0.9312585499316005,0.8208955223880597,118,11,13,55,0.8670483460559797,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.08527131782945736,0.8333333333333334,0.8333333333333334,0.9007633587786259,0.9147286821705426,0.9147286821705426,0.09710844471266177,0.05008491525795253,0.322357139006484
782,58.318502835929394,0.868020304568528,0.8374581977337139,0.916780665754674,0.8059701492537313,117,12,14,54,0.8556557945870924,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.09302325581395349,0.8181818181818182,0.8181818181818182,0.8931297709923665,0.9069767441860465,0.9069767441860465,0.10691282593138483,0.07567774311540088,0.34274423667016973
784,58.234110264107585,0.8730964467005076,0.8779541853513947,0.931030551755586,0.8031496062992126,121,8,17,51,0.8706091869319578,0.75,0.75,0.75,0.06201550387596899,0.864406779661017,0.864406779661017,0.8768115942028986,0.937984496124031,0.937984496124031,0.09814994351776395,0.041944237529928916,0.3216743469238281
