model,AUROC_delta,CI_low,CI_high
scalar_mlp,0.010227272727272751,-0.00016304112554110513,0.023158957548536592
concat_mlp,-0.05779220779220784,-0.10373911634504858,-0.014234802088487654
adapter_transformer,-0.011688311688311748,-0.040155384406251604,0.01636086376494787
uncertainty_adapter_transformer,0.015909090909090873,-0.00241424316021098,0.03667975605475598
