model,seed,best_epoch,participants,positives,AUROC,AUPRC,accuracy,balanced_accuracy,F1,sensitivity,specificity,log_loss,brier
available_mean,-1,0,167,55,0.9375,0.8944864243642164,0.8982035928143712,0.8778409090909092,0.8411214953271028,0.8181818181818182,0.9375,0.4101106093342318,0.12207245149828218
scalar_mlp,101,41,167,55,0.9482142857142858,0.9132579767191481,0.8982035928143712,0.8870941558441559,0.8468468468468469,0.8545454545454545,0.9196428571428571,0.2729199004895414,0.07971771382641332
scalar_mlp,202,46,167,55,0.9457792207792208,0.9096426911468293,0.8922155688622755,0.8780032467532467,0.8363636363636363,0.8363636363636363,0.9196428571428571,0.2749509090933611,0.08063431088346136
scalar_mlp,303,44,167,55,0.9482142857142858,0.9128338071980109,0.9041916167664671,0.8869318181818182,0.8518518518518519,0.8363636363636363,0.9375,0.2703033269854541,0.07887570160365909
scalar_mlp,404,44,167,55,0.948538961038961,0.9114178313111819,0.9041916167664671,0.8915584415584416,0.8545454545454545,0.8545454545454545,0.9285714285714286,0.27119312385872146,0.07888480025728531
scalar_mlp,505,38,167,55,0.9488636363636364,0.9156999359954515,0.9161676646706587,0.900487012987013,0.8703703703703703,0.8545454545454545,0.9464285714285714,0.27173467509373145,0.0789377146986633
concat_mlp,101,12,167,55,0.8769480519480519,0.7885776755626875,0.8023952095808383,0.7971590909090909,0.7226890756302521,0.7818181818181819,0.8125,0.44737085288292516,0.13425675425117836
concat_mlp,202,11,167,55,0.8665584415584416,0.7662557701347971,0.8383233532934131,0.8054383116883117,0.7428571428571429,0.7090909090909091,0.9017857142857143,0.4585508017895036,0.1332157266012141
concat_mlp,303,10,167,55,0.8663961038961039,0.7815318045555817,0.8263473053892215,0.8011363636363636,0.7339449541284404,0.7272727272727273,0.875,0.45904245885454414,0.1325475713033731
concat_mlp,404,13,167,55,0.8803571428571427,0.7772121719015157,0.8083832335329342,0.7923701298701299,0.7192982456140351,0.7454545454545455,0.8392857142857143,0.4359429234582958,0.1267316815471581
concat_mlp,505,13,167,55,0.8821428571428571,0.789889723766058,0.8143712574850299,0.801461038961039,0.7304347826086957,0.7636363636363637,0.8392857142857143,0.4281713097389336,0.12633590561854585
adapter_transformer,101,8,167,55,0.8998376623376624,0.8233009782704712,0.8562874251497006,0.8465909090909092,0.7894736842105263,0.8181818181818182,0.875,0.4018548525970822,0.11663405055716608
adapter_transformer,202,6,167,55,0.9087662337662338,0.8278888892615389,0.8562874251497006,0.8373376623376624,0.7818181818181819,0.7818181818181819,0.8928571428571429,0.36138837658844886,0.11277299887549198
adapter_transformer,303,6,167,55,0.9295454545454545,0.8873604775693826,0.8622754491017964,0.8695616883116883,0.8099173553719008,0.8909090909090909,0.8482142857142857,0.3295794434158921,0.10183325308380586
adapter_transformer,404,6,167,55,0.9157467532467531,0.8376558373253449,0.8502994011976048,0.8328733766233767,0.7747747747747747,0.7818181818181819,0.8839285714285714,0.36220666911630306,0.11361057046173145
adapter_transformer,505,5,167,55,0.8909090909090909,0.8252552931926983,0.8383233532934131,0.8146915584415584,0.7522935779816514,0.7454545454545455,0.8839285714285714,0.3775983930492989,0.11558801290272885
uncertainty_adapter_transformer,101,6,167,55,0.936038961038961,0.8589601073617458,0.8622754491017964,0.8603084415584416,0.8034188034188035,0.8545454545454545,0.8660714285714286,0.31599257318863194,0.09487612007488778
uncertainty_adapter_transformer,202,4,167,55,0.9381493506493506,0.8882778091636976,0.8862275449101796,0.8827922077922078,0.8347826086956521,0.8727272727272727,0.8928571428571429,0.28470683692711873,0.0843525473491992
uncertainty_adapter_transformer,303,6,167,55,0.9334415584415586,0.9034497808734254,0.8682634730538922,0.8647727272727272,0.8103448275862069,0.8545454545454545,0.875,0.3178838235702911,0.09600718502491673
uncertainty_adapter_transformer,404,5,167,55,0.9243506493506494,0.8785320050230946,0.8862275449101796,0.8596590909090909,0.819047619047619,0.7818181818181819,0.9375,0.3334821206114223,0.09912501717794195
uncertainty_adapter_transformer,505,6,167,55,0.9303571428571429,0.8766749319494864,0.9161676646706587,0.900487012987013,0.8703703703703703,0.8545454545454545,0.9464285714285714,0.3065266472178437,0.08579813835333745
