model,participants,positives,AUROC,AUPRC,accuracy,balanced_accuracy,F1,sensitivity,specificity,log_loss,brier
uncertainty_adapter_transformer,167,55,0.9534090909090909,0.911578736944589,0.9041916167664671,0.8961850649350649,0.8571428571428571,0.8727272727272727,0.9196428571428571,0.2622987663626495,0.07696852396426188
scalar_mlp,167,55,0.9477272727272728,0.9124019812037777,0.8982035928143712,0.8824675324675324,0.8440366972477065,0.8363636363636363,0.9285714285714286,0.2717354605689356,0.07930154270545643
available_mean,167,55,0.9375,0.8944864243642164,0.8982035928143712,0.8778409090909092,0.8411214953271028,0.8181818181818182,0.9375,0.4101106093342318,0.12207245149828218
adapter_transformer,167,55,0.9258116883116883,0.8661334378165841,0.8622754491017964,0.8510551948051948,0.7964601769911505,0.8181818181818182,0.8839285714285714,0.3260401386591602,0.09716757407388327
concat_mlp,167,55,0.8797077922077922,0.788989862460156,0.8323353293413174,0.8102272727272728,0.7454545454545455,0.7454545454545455,0.875,0.4299608423876078,0.12619707958396129
