split,modality,rows,AUROC,AUPRC
train,finger,690,0.8423843419389323,0.81074578511325
train,speech,690,0.8598444035327355,0.8491117201599142
train,smile,690,0.8766681655057734,0.8359573227455528
validation,finger,215,0.7445442875481386,0.5961979935639531
validation,speech,215,0.8724555290665689,0.837135030610416
validation,smile,215,0.8962956170915093,0.8329971863859847
test,finger,197,0.8038075695394437,0.6869505018672858
test,speech,197,0.8751709986320109,0.8392858872921083
test,smile,197,0.8155494756041952,0.6940117517272804
